"name","region","freq","rank","gender"
"Luana da Cruz",0,11694738,1,F
"Dra. Mariane Barros",0,3079729,2,F
"Isabella Moura",0,721637,3,F
"Alícia Oliveira",0,588783,4,F
"Isabel Nunes",0,565621,5,F
"Olivia Cunha",0,562589,6,F
"Maria Cecília Mendes",0,551855,7,F
"Maria Alice Moura",0,531607,8,F
"Agatha Alves",0,529446,9,F
"Ana Laura Fogaça",0,509869,10,F
"Clara Farias",0,479230,11,F
"Agatha Gonçalves",0,469851,12,F
"Dra. Mirella da Cunha",0,464624,13,F
"Rebeca Campos",0,460770,14,F
"Maria Cecília Novaes",0,456472,15,F
"Ana Vitória Melo",0,434056,16,F
"Luiza da Paz",0,430067,17,F
"Laís Araújo",0,429769,18,F
"Milena da Conceição",0,417512,19,F
"Emanuelly Almeida",0,381778,20,F
"Srta. Sophia Porto",0,378807,21,F
"Maria Vitória Rocha",0,376202,22,F
"Ana Júlia Correia",0,366797,23,F
"Emanuelly Novaes",0,360523,24,F
"Maria Fernanda Martins",0,358175,25,F
"Ana da Cunha",0,354980,26,F
"Giovanna Jesus",0,354720,27,F
"Gabrielly Silva",0,354625,28,F
"Luana Duarte",0,354487,29,F
"Beatriz Teixeira",0,345195,30,F
"Dra. Esther da Mata",0,342361,31,F
"Maitê da Rocha",0,340783,32,F
"Nicole da Rosa",0,339535,33,F
"Sabrina Fernandes",0,334157,34,F
"Maria Fernanda Rocha",0,327248,35,F
"Camila Rezende",0,325334,36,F
"Maysa Oliveira",0,312839,37,F
"Clara Nogueira",0,310226,38,F
"Maria Fernanda Nogueira",0,307913,39,F
"Maria Eduarda da Cruz",0,306336,40,F
"Júlia Cunha",0,303020,41,F
"Dra. Lorena Silveira",0,302915,42,F
"Valentina Duarte",0,301055,43,F
"Raquel Cavalcanti",0,298311,44,F
"Catarina Moraes",0,295061,45,F
"Lara Pires",0,290970,46,F
"Maria Cecília da Cunha",0,290538,47,F
"Sra. Gabrielly Novaes",0,287153,48,F
"Milena da Rosa",0,284610,49,F
"Sra. Nina Ferreira",0,278058,50,F
"Clara Gonçalves",0,272718,51,F
"Ana Laura Novaes",0,268576,52,F
"Emilly Dias",0,258278,53,F
"Amanda Moura",0,256433,54,F
"Rebeca Jesus",0,252483,55,F
"Heloísa Duarte",0,251469,56,F
"Luana Moreira",0,243899,57,F
"Srta. Giovanna Freitas",0,243820,58,F
"Milena Cardoso",0,242273,59,F
"Ana Julia Araújo",0,238919,60,F
"Maria Luiza Fogaça",0,233349,61,F
"Ana Júlia Oliveira",0,232855,62,F
"Maria Sophia da Mata",0,232838,63,F
"Bruna Almeida",0,231088,64,F
"Olivia Pires",0,230213,65,F
"Kamilly Nunes",0,223365,66,F
"Ana Vitória Aragão",0,222460,67,F
"Emilly Fernandes",0,221113,68,F
"Emilly Pereira",0,219667,69,F
"Ana Vitória Carvalho",0,219219,70,F
"Luiza Sales",0,216161,71,F
"Dra. Lorena Teixeira",0,214263,72,F
"Ana Luiza Barbosa",0,212706,73,F
"Luiza Costela",0,210152,74,F
"Valentina Fernandes",0,209844,75,F
"Maria Ramos",0,209633,76,F
"Joana Aragão",0,208945,77,F
"Camila Moreira",0,207760,78,F
"Stephany Nunes",0,203901,79,F
"Maria Cecília Campos",0,203322,80,F
"Isadora Santos",0,201501,81,F
"Maysa Caldeira",0,200531,82,F
"Evelyn da Luz",0,199583,83,F
"Sarah Moreira",0,199053,84,F
"Ana Beatriz da Mota",0,197512,85,F
"Sra. Mariana Pinto",0,197065,86,F
"Raquel Vieira",0,192208,87,F
"Srta. Cecília Mendes",0,191430,88,F
"Natália Fogaça",0,190497,89,F
"Luna Caldeira",0,190286,90,F
"Isabelly Azevedo",0,184933,91,F
"Marina Correia",0,184096,92,F
"Gabriela da Luz",0,183943,93,F
"Larissa Cavalcanti",0,181533,94,F
"Dra. Mariana Nascimento",0,179037,95,F
"Elisa Lima",0,174949,96,F
"Isadora Lima",0,172242,97,F
"Elisa Caldeira",0,170703,98,F
"Eduarda Ramos",0,168816,99,F
"Maria Vitória Ramos",0,168666,100,F
"Marcela Castro",0,168468,101,F
"Julia Campos",0,164780,102,F
"Sabrina Cunha",0,163944,103,F
"Maria Clara da Mota",0,163299,104,F
"Gabrielly Costa",0,160617,105,F
"Mariana Ferreira",0,158435,106,F
"Luna Costa",0,150633,107,F
"Emanuelly Rodrigues",0,146957,108,F
"Ana Luiza Costa",0,145167,109,F
"Eduarda Silveira",0,144641,110,F
"Ana Julia Barros",0,144238,111,F
"Sra. Ana Vitória Aragão",0,142898,112,F
"Dra. Sabrina da Mata",0,142512,113,F
"Sra. Ana Beatriz Nunes",0,142504,114,F
"Ana Carolina Cunha",0,141247,115,F
"Sra. Ana Sophia Mendes",0,140494,116,F
"Eduarda da Luz",0,139351,117,F
"Lavínia Peixoto",0,138009,118,F
"Isadora Costela",0,137073,119,F
"Ana Laura Azevedo",0,136808,120,F
"Eduarda Ribeiro",0,136215,121,F
"Marina Sales",0,135979,122,F
"Esther da Conceição",0,131533,123,F
"Lavínia Pinto",0,131256,124,F
"Clarice Moreira",0,130730,125,F
"Julia Correia",0,128317,126,F
"Luiza Moraes",0,128064,127,F
"Sra. Gabriela Cavalcanti",0,127613,128,F
"Luana Vieira",0,127087,129,F
"Isadora Barros",0,126200,130,F
"Kamilly Silveira",0,123594,131,F
"Bruna Fogaça",0,123200,132,F
"Laís Duarte",0,122545,133,F
"Maria Alice Castro",0,120624,134,F
